Date,Adversity,DATE_QTR,REAL_GDP_GROWTH,NOMINAL_GDP_GROWTH,REAL_DISPOSABLE_INCOME_GROWTH,NOMINAL_DISPOSABLE_INCOME_GROWTH,UNEMPLOYMENT_RATE,CPI_INFLATION_RATE,THREE_MONTH_TREASURY_RATE,FIVE_YEAR_TREASURY_YIELD,TEN_YEAR_TREASURY_YIELD,BBB_CORPORATE_YEILD,MORTGAGE_RATE,PRIME_RATE,DOWJONES_TOTAL_STOCK_MARKET_INDEX,HOUSE_PRICE_INDEX,COMERCIAL_REAL_ESTATE_PRICE_INDEX,MARKET_VOLATILITY_INDEX,EURO_AREA_REAL_GDP_GROWTH,EURO_AREA_INFLATION,EURO_AREA_BILATERAL_DOLLAR_EXCHANGE_RATE,DEVELOPING_ASIA_REAL_GDP_GROWTH,DEVELOPING_ASIA_INFLATION,DEV_ASIA_BILATERAL_DOLLAR_EXCHANGE_RATE,JAPAN_REAL_GDP_GROWTH,JAPAN_INFLATION,JAPAN_BILATERAL_DOLLAR_EXCHANGE_RATE,UK_REAL_GDP_GROWTH,UK_INFLATION,UK_BILATERAL_DOLLAR_EXCHANGE_RATE
2001-03-31,Historical,Q1 2001,-1.1,1.3,3.7,6.5,4.2,3.9,4.8,4.9,5.3,7.5,7,8.6,10646,112,143,32.8,4.0,1.2,0.879,4.8,1.7,106.1,2.1,0.7,125.5,5.8,0.1,1.419
2002-03-31,Historical,Q1 2002,3.5,4.9,9.3,10.1,5.7,1.3,1.7,4.5,5.4,7.4,7,4.8,10776,120,139,26.1,0.2,3.1,0.872,7.8,0.5,107.4,0.7,-1.1,132.7,1.8,1.9,1.425
2003-03-31,Historical,Q1 2003,2.2,4.1,0.9,3.8,5.9,4.2,1.2,2.9,4.2,6.2,5.8,4.3,8052,132,152,34.7,-1.4,3.3,1.09,6.6,3.6,105.5,0.3,0.0,118.1,2.7,1.6,1.579
2004-03-31,Historical,Q1 2004,2.2,5.2,1.9,5.3,5.7,3.4,0.9,3,4.1,5,5.6,4,11039,148,153,21.6,2.0,2.2,1.229,5.8,4.0,101.4,2.8,0.8,104.2,2.2,1.3,1.84
2005-03-31,Historical,Q1 2005,4.5,7.9,-4.6,-2.4,5.3,2,2.5,3.9,4.4,5.2,5.8,5.4,11637,172,179,14.7,0.9,1.4,1.297,10.6,2.9,98.5,2.0,-1.2,107.2,3.4,2.5,1.889
2006-03-31,Historical,Q1 2006,5.4,8.4,8,10.2,4.7,2.1,4.4,4.6,4.7,5.8,6.2,7.4,13122,193,204,14.6,3.6,1.7,1.214,10.9,2.4,96.7,0.7,1.2,117.5,1.6,1.9,1.739
2007-03-31,Historical,Q1 2007,0.9,5,3.4,7.4,4.5,4,5,4.6,4.8,6,6.2,8.3,14354,189,230,19.6,2.5,2.3,1.337,13.9,3.6,93.9,3.0,-0.7,117.6,3.8,2.6,1.969
2008-03-31,Historical,Q1 2008,-2.3,-0.8,1.1,4.6,5,4.4,2.1,2.8,3.9,6.4,5.9,6.2,13284,165,235,32.2,1.8,4.2,1.581,7.1,8.1,88.0,1.1,1.2,99.9,2.2,3.7,1.986
2009-03-31,Historical,Q1 2009,-4.4,-4.5,-1.7,-4,8.3,-2.7,0.2,1.9,3.2,9.1,5.1,3.3,8044,138,208,56.7,-12.0,-1.0,1.326,4.2,-1.4,94.3,-17.8,-3.6,99.2,-6.8,-0.1,1.43
2010-03-31,Historical,Q1 2010,1.5,2.6,2.3,3.7,9.8,0.6,0.1,2.4,3.9,5.6,5,3.3,12033,139,154,27.3,1.5,1.8,1.353,9.6,4.4,89.8,3.5,1.0,93.4,2.6,4.0,1.519
2011-03-31,Historical,Q1 2011,-1,1.2,4.1,7.8,9,4.3,0.1,2.1,3.5,5,4.8,3.3,13909,133,171,29.4,3.4,3.7,1.418,9.6,6.2,86.5,-5.5,-0.1,82.8,2.5,6.7,1.605
2012-03-31,Historical,Q1 2012,3.2,5.8,7.7,10.7,8.3,2.3,0.1,0.9,2.1,4.4,3.9,3.3,14628,135,181,23,-0.9,2.9,1.333,7.6,3.2,86.3,4.9,2.2,82.4,2.6,2.1,1.599
2013-03-31,Historical,Q1 2013,3.6,5.3,-15.1,-13.9,7.7,1.6,0.1,0.8,1.9,3.7,3.5,3.3,16396,148,187,19,-1.5,1.3,1.282,6.7,4.6,86.3,5.0,0.6,94.2,2.6,2.9,1.519
2014-03-31,Historical,Q1 2014,-1.1,0.5,5.7,7.7,6.7,2.5,0,1.6,2.8,4.4,4.4,3.3,19711,160,210,21.4,1.9,1.0,1.378,5.8,1.4,86.9,4.0,1.0,103.0,2.7,1.9,1.668
2015-03-31,Historical,Q1 2015,3.2,3,4.6,2.8,5.5,-2.6,0,1.5,2,3.9,3.7,3.3,21708,168,241,22.4,3.0,-0.7,1.074,5.7,0.9,88.1,5.5,0.5,120.0,2.1,-1.1,1.485
2016-03-31,Historical,Q1 2016,2,1.6,2.7,2.9,4.9,-0.2,0.3,1.4,2,4.5,3.7,3.5,21179,177,239,28.1,2.4,-1.4,1.139,7.5,3.1,91.8,1.9,-0.4,112.4,0.7,0.0,1.438
2017-03-31,Historical,Q1 2017,2.3,4.2,4.9,7.1,4.6,2.8,0.6,2,2.5,4,4.2,3.8,24508,187,257,13.1,2.6,2.7,1.07,6.3,1.4,95.2,4.6,-0.3,111.4,2.3,3.8,1.254
2018-03-31,Historical,Q1 2018,2.6,5,6.9,9.6,4.1,3.2,1.6,2.5,2.8,4.1,4.3,4.5,27383,199,274,37.3,1.1,2.2,1.232,6.7,2.8,89.1,-1.9,2.7,106.2,0.2,2.6,1.403
2019-03-31,Historical,Q1 2019,3.1,3.9,4.5,4.9,3.9,0.9,2.4,2.5,2.7,4.5,4.4,5.5,29194,206,289,25.5,1.8,0.3,1.123,5.4,1.4,94.8,2.6,0.4,110.7,2.5,1.1,1.303
2020-03-31,Historical,Q1 2020,-5,-3.4,2.6,3.9,3.8,1.2,1.1,1.2,1.4,3.4,3.5,4.4,25985,213,304,82.7,-14.1,0.7,1.102,-25.7,3.8,101.9,-2.3,0.3,107.5,-8.5,2.0,1.245
2021-03-31,Baseline,Q1 2021,4.6,6.4,-4.8,-3,8.1,2.1,0.1,0.4,0.9,2.5,2.7,3.2,35090,222,293,26.9,3.3,1.2,1.182,6.2,3.3,99.1,2.3,0.8,106.4,6.1,1.1,1.31
2021-03-31,Adverse,Q1 2021,-3.6,-2.6,-12.8,-11.8,11.3,1.4,0.1,0.2,0.3,5.7,3.8,3.2,19841,198,291,68.1,-3.0,-0.2,1.074,3.7,-0.7,100.9,-4.5,-1.6,106.7,-3.1,-0.2,1.182
2022-03-31,Baseline,Q1 2022,3.3,4.4,3.4,5.6,6.3,2.3,0.4,0.8,1.2,2.8,2.8,3.4,36295,231,279,26.3,5.0,1.0,1.206,4.8,3.3,98.3,4.1,0.2,106.7,5.6,1.9,1.359
2022-03-31,Adverse,Q1 2022,5.7,6.2,3.5,5.5,12,2.1,0.1,0.3,0.7,5.1,3.6,3.2,20479,168,241,41.8,1.0,-0.1,1.043,4.8,-1.0,103.4,1.0,-1.9,105.6,1.0,0.0,1.148
2023-03-31,Baseline,Q1 2023,2.5,4,2.1,4.1,5.5,2.2,0.9,1.2,1.7,3.4,3.2,3.9,37588,239,290,26.4,2.6,1.2,1.206,5.7,3.4,98.3,2.3,0.3,106.7,3.2,2.2,1.359
2023-03-31,Adverse,Q1 2023,8.2,8.9,4.2,6.2,8.4,2.1,0.1,0.6,1.2,3.9,3.3,3.2,28338,164,213,30.4,9.0,-0.5,1.09,6.3,0.8,99.7,6.0,-1.3,106.7,9.0,0.5,1.2
